EMP_VAR_RATE,CONS_PRICE_IDX,CONS_CONF_IDX,EURIBOR3M,NR_EMPLOYED
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
1.1,93.994,-36.4,4.857,5191
